peak_utc,peak_counts,class_like
2024-05-15 10:21:13,29.4,B/A
2024-05-15 10:23:15,29.4,B/A
2024-05-15 10:25:46,28.7,B/A
2024-05-15 10:29:16,29.1,B/A
2024-05-15 10:31:46,29.6,B/A
2024-05-15 10:33:51,30.1,B/A
2024-05-15 10:35:59,30.6,B/A
2024-05-15 10:38:43,29.3,B/A
2024-05-15 10:40:46,28.6,B/A
2024-05-15 10:43:11,32.8,B/A
2024-05-15 10:45:24,27.7,B/A
2024-05-15 10:47:56,29.8,B/A
2024-05-15 10:51:27,30.5,B/A
2024-05-15 10:53:28,28.7,B/A
2024-05-15 10:55:38,30.0,B/A
2024-05-15 10:57:44,29.4,B/A
2024-05-15 11:00:01,29.0,B/A
2024-05-15 11:03:10,29.5,B/A
2024-05-15 11:05:23,28.4,B/A
2024-05-15 11:08:59,28.7,B/A
2024-05-15 11:12:38,29.3,B/A
2024-05-15 11:16:32,32.8,B/A
2024-05-15 11:19:08,28.2,B/A
2024-05-15 11:24:08,29.3,B/A
2024-05-15 11:26:37,27.2,B/A
2024-05-15 11:29:22,29.6,B/A
2024-05-15 11:33:27,28.6,B/A
2024-05-15 11:35:45,28.7,B/A
2024-05-15 11:39:22,28.5,B/A
2024-05-15 11:41:35,28.3,B/A
2024-05-15 11:43:39,30.1,B/A
2024-05-15 11:45:56,28.5,B/A
2024-05-15 11:48:08,31.1,B/A
2024-05-15 11:50:37,30.0,B/A
2024-05-15 11:55:28,28.1,B/A
2024-05-15 11:57:45,28.5,B/A
2024-05-15 12:00:20,32.4,B/A
2024-05-15 12:02:22,30.4,B/A
2024-05-15 12:04:41,29.4,B/A
2024-05-15 12:07:19,29.8,B/A
2024-05-15 12:10:00,28.8,B/A
2024-05-15 12:12:07,30.1,B/A
2024-05-15 12:14:10,27.8,B/A
2024-05-15 12:16:29,28.3,B/A
2024-05-15 12:18:30,31.5,B/A
2024-05-15 12:20:44,28.5,B/A
2024-05-15 12:23:39,27.9,B/A
2024-05-15 12:25:56,29.4,B/A
2024-05-15 12:28:09,26.9,B/A
2024-05-15 12:30:16,32.7,B/A
2024-05-15 12:33:00,28.9,B/A
2024-05-15 12:35:20,28.2,B/A
2024-05-15 12:37:35,28.4,B/A
2024-05-15 12:40:04,28.6,B/A
2024-05-15 12:42:28,29.8,B/A
2024-05-15 12:44:49,29.0,B/A
2024-05-15 12:46:51,31.3,B/A
2024-05-15 12:49:52,29.0,B/A
2024-05-15 12:52:48,30.1,B/A
2024-05-15 12:55:11,30.6,B/A
2024-05-15 12:57:23,30.9,B/A
2024-05-15 12:59:59,29.8,B/A
2024-05-15 13:02:59,30.1,B/A
2024-05-15 13:07:48,29.0,B/A
2024-05-15 13:10:55,29.5,B/A
2024-05-15 13:13:32,27.9,B/A
2024-05-15 13:15:56,28.3,B/A
2024-05-15 13:19:03,27.8,B/A
2024-05-15 13:21:28,27.3,B/A
2024-05-15 13:23:38,27.4,B/A
2024-05-15 13:25:52,31.7,B/A
2024-05-15 13:28:06,29.6,B/A
2024-05-15 13:30:51,30.9,B/A
2024-05-15 13:33:58,28.0,B/A
2024-05-15 13:36:45,30.5,B/A
2024-05-15 13:38:54,27.9,B/A
2024-05-15 13:42:41,27.7,B/A
2024-05-15 13:44:51,32.7,B/A
2024-05-15 13:47:48,27.9,B/A
2024-05-15 13:49:50,29.3,B/A
2024-05-15 13:51:52,27.5,B/A
2024-05-15 13:54:13,29.0,B/A
2024-05-15 13:56:41,28.8,B/A
2024-05-15 13:58:46,28.5,B/A
2024-05-15 14:00:58,30.2,B/A
2024-05-15 14:03:54,28.0,B/A
2024-05-15 14:07:28,30.9,B/A
2024-05-15 14:09:47,28.4,B/A
2024-05-15 14:11:56,28.3,B/A
2024-05-15 14:15:22,31.2,B/A
2024-05-15 14:17:37,30.7,B/A
2024-05-15 14:19:47,30.1,B/A
2024-05-15 14:23:13,29.1,B/A
2024-05-15 14:26:00,28.3,B/A
2024-05-15 14:29:27,27.9,B/A
2024-05-15 14:32:39,29.3,B/A
2024-05-15 14:36:15,31.4,B/A
2024-05-15 14:38:25,28.2,B/A
2024-05-15 14:40:57,30.2,B/A
2024-05-15 14:42:58,29.4,B/A
2024-05-15 14:44:59,30.6,B/A
2024-05-15 14:47:36,28.7,B/A
2024-05-15 14:50:14,28.7,B/A
2024-05-15 14:52:21,29.1,B/A
